sample_id	lane	lib_type	R1	R2	R3
sample3-LSK-W1	lane1	FB	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample3-LSK-W1_FB_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample3-LSK-W1_FB_S1_L001_R2_001.fastq.gz
sample3-LSK-W1	lane1	GEX	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample3-LSK-W1_GEX_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample3-LSK-W1_GEX_S1_L001_R2_001.fastq.gz
sample3-LSK-W2	lane1	CH	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample3-LSK-W2_CH_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample3-LSK-W2_CH_S1_L001_R2_001.fastq.gz
sample3-LSK-W2	lane1	FB	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample3-LSK-W2_FB_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample3-LSK-W2_FB_S1_L001_R2_001.fastq.gz
sample3-LSK-W2	lane1	GEX	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample3-LSK-W2_GEX_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample3-LSK-W2_GEX_S1_L001_R2_001.fastq.gz
sample4-W1	lane1	CH	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W1_CH_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W1_CH_S1_L001_R2_001.fastq.gz
sample4-W1	lane1	FB	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W1_FB_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W1_FB_S1_L001_R2_001.fastq.gz
sample4-W1	lane1	GEX	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W1_GEX_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W1_GEX_S1_L001_R2_001.fastq.gz
sample4-W2	lane1	CH	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W2_CH_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W2_CH_S1_L001_R2_001.fastq.gz
sample4-W2	lane1	FB	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W2_FB_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W2_FB_S1_L001_R2_001.fastq.gz
sample4-W2	lane1	GEX	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W2_GEX_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W2_GEX_S1_L001_R2_001.fastq.gz
sample4-W3	lane1	CH	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W3_CH_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W3_CH_S1_L001_R2_001.fastq.gz
sample4-W3	lane1	FB	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W3_FB_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W3_FB_S1_L001_R2_001.fastq.gz
sample4-W3	lane1	GEX	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W3_GEX_S1_L001_R1_001.fastq.gz	/mnt/netapp/Users/SEQUENCING_DATA/TEST_DATA_CLONERANGER/sample4-W3_GEX_S1_L001_R2_001.fastq.gz
